age,Workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,salary
47,'Private',51835,'Prof-school',15,'Married-civ-spouse','Prof-specialty','Wife','White','Female',0,1902,60,'Honduras','>50K'
50,'Federal-gov',251585,'Bachelors',13,'Divorced','Exec-managerial','Not-in-family','White','Male',0,0,55,'United-States','>50K'
47,'Self-emp-inc',109832,'HS-grad',9,'Divorced','Exec-managerial','Not-in-family','White','Male',0,0,60,'United-States','<=50K'
43,'Private',237993,'Some-college',10,'Married-civ-spouse','Tech-support','Husband','White','Male',0,0,40,'United-States','>50K'
46,'Private',216666,'5th-6th',3,'Married-civ-spouse','Machine-op-inspct','Husband','White','Male',0,0,40,'Mexico','<=50K'
35,'Private',56352,'Assoc-voc',11,'Married-civ-spouse','Other-service','Husband','White','Male',0,0,40,'Puerto-Rico','<=50K'
41,'Private',147372,'HS-grad',9,'Married-civ-spouse','Adm-clerical','Husband','White','Male',0,0,48,'United-States','<=50K'
30,'Private',188146,'HS-grad',9,'Married-civ-spouse','Machine-op-inspct','Husband','White','Male',5013,0,40,'United-States','<=50K'
30,'Private',59496,'Bachelors',13,'Married-civ-spouse','Sales','Husband','White','Male',2407,0,40,'United-States','<=50K'
32,'<undefined>',293936,'7th-8th',4,'Married-spouse-absent','<undefined>','Not-in-family','White','Male',0,0,40,'<undefined>','<=50K'
48,'Private',149640,'HS-grad',9,'Married-civ-spouse','Transport-moving','Husband','White','Male',0,0,40,'United-States','<=50K'
42,'Private',116632,'Doctorate',16,'Married-civ-spouse','Prof-specialty','Husband','White','Male',0,0,45,'United-States','>50K'
29,'Private',105598,'Some-college',10,'Divorced','Tech-support','Not-in-family','White','Male',0,0,58,'United-States','<=50K'
36,'Private',155537,'HS-grad',9,'Married-civ-spouse','Craft-repair','Husband','White','Male',0,0,40,'United-States','<=50K'
28,'Private',183175,'Some-college',10,'Divorced','Adm-clerical','Not-in-family','White','Female',0,0,40,'United-States','<=50K'
53,'Private',169846,'HS-grad',9,'Married-civ-spouse','Adm-clerical','Wife','White','Female',0,0,40,'United-States','>50K'
49,'Self-emp-inc',191681,'Some-college',10,'Married-civ-spouse','Exec-managerial','Husband','White','Male',0,0,50,'United-States','>50K'
